Fecha,Provincia,Tecnología,Accesos
2022-07-01,Jujuy,Dial up,0.0
2022-07-01,La Pampa,Dial up,171.0
2022-07-01,La Rioja,Dial up,4.0
2022-07-01,Mendoza,Dial up,777.0
2022-07-01,Misiones,Dial up,0.0
2022-07-01,Neuquén,Dial up,468.0
2022-07-01,Río Negro,Dial up,548.0
2022-07-01,Salta,Dial up,5.0
2022-07-01,San Juan,Dial up,281.0
2022-07-01,San Luis,Dial up,182.0
2022-07-01,Santa Cruz,Dial up,198.0
2022-07-01,Santa Fe,Dial up,110.0
2022-07-01,Santiago Del Estero,Dial up,2.0
2022-07-01,Tierra Del Fuego,Dial up,312.0
2022-07-01,Tucumán,Dial up,30.0
2022-04-01,Buenos Aires,Dial up,6199.0
2022-04-01,Capital Federal,Dial up,2145.0
2022-04-01,Catamarca,Dial up,1.0
2022-04-01,Chaco,Dial up,5.0
2022-04-01,Chubut,Dial up,904.0
2022-04-01,Córdoba,Dial up,68.0
2022-04-01,Corrientes,Dial up,4.0
2022-04-01,Entre Ríos,Dial up,22.0
2022-04-01,Formosa,Dial up,0.0
2022-04-01,Jujuy,Dial up,0.0
2022-04-01,La Pampa,Dial up,171.0
2022-04-01,La Rioja,Dial up,4.0
2022-04-01,Mendoza,Dial up,777.0
2022-04-01,Misiones,Dial up,0.0
2022-04-01,Neuquén,Dial up,468.0
2022-04-01,Río Negro,Dial up,548.0
2022-04-01,Salta,Dial up,5.0
2022-04-01,San Juan,Dial up,281.0
2022-04-01,San Luis,Dial up,182.0
2022-04-01,Santa Cruz,Dial up,198.0
2022-04-01,Santa Fe,Dial up,110.0
2022-04-01,Santiago Del Estero,Dial up,2.0
2022-04-01,Tierra Del Fuego,Dial up,312.0
2022-04-01,Tucumán,Dial up,30.0
2022-01-01,Buenos Aires,Dial up,6293.0
2022-01-01,Capital Federal,Dial up,2163.0
2022-01-01,Catamarca,Dial up,1.0
2022-01-01,Chaco,Dial up,5.0
2022-01-01,Chubut,Dial up,927.0
2022-01-01,Córdoba,Dial up,74.0
2022-01-01,Corrientes,Dial up,4.0
2022-01-01,Entre Ríos,Dial up,22.0
2022-01-01,Formosa,Dial up,0.0
2022-01-01,Jujuy,Dial up,0.0
2022-01-01,La Pampa,Dial up,172.0
2022-01-01,La Rioja,Dial up,4.0
2022-01-01,Mendoza,Dial up,786.0
2022-01-01,Misiones,Dial up,0.0
2022-01-01,Neuquén,Dial up,471.0
2022-01-01,Río Negro,Dial up,553.0
2022-01-01,Salta,Dial up,5.0
2022-01-01,San Juan,Dial up,290.0
2022-01-01,San Luis,Dial up,185.0
2022-01-01,Santa Cruz,Dial up,204.0
2022-01-01,Santa Fe,Dial up,115.0
2022-01-01,Santiago Del Estero,Dial up,2.0
2022-01-01,Tierra Del Fuego,Dial up,313.0
2022-01-01,Tucumán,Dial up,30.0
2021-10-01,Buenos Aires,Dial up,6385.0
2021-10-01,Capital Federal,Dial up,2184.0
2021-10-01,Catamarca,Dial up,1.0
2021-10-01,Chaco,Dial up,5.0
2021-10-01,Chubut,Dial up,944.0
2021-10-01,Córdoba,Dial up,77.0
2021-10-01,Corrientes,Dial up,4.0
2021-10-01,Entre Ríos,Dial up,22.0
2021-10-01,Formosa,Dial up,0.0
2021-10-01,Jujuy,Dial up,0.0
2021-10-01,La Pampa,Dial up,173.0
2021-10-01,La Rioja,Dial up,4.0
2021-10-01,Mendoza,Dial up,804.0
2021-10-01,Misiones,Dial up,0.0
2021-10-01,Neuquén,Dial up,477.0
2021-10-01,Río Negro,Dial up,564.0
2021-10-01,Salta,Dial up,6.0
2021-10-01,San Juan,Dial up,291.0
2021-10-01,San Luis,Dial up,187.0
2021-10-01,Santa Cruz,Dial up,210.0
2021-10-01,Santa Fe,Dial up,176.0
2021-10-01,Santiago Del Estero,Dial up,2.0
2021-10-01,Tierra Del Fuego,Dial up,315.0
2021-10-01,Tucumán,Dial up,30.0
2021-07-01,Buenos Aires,Dial up,5184.0
2021-07-01,Capital Federal,Dial up,1608.0
2021-07-01,Catamarca,Dial up,1.0
2021-07-01,Chaco,Dial up,3.0
2021-07-01,Chubut,Dial up,800.0
2021-07-01,Córdoba,Dial up,62.0
2021-07-01,Corrientes,Dial up,3.0
2021-07-01,Entre Ríos,Dial up,15.0
2021-07-01,Formosa,Dial up,0.0
2021-07-01,Jujuy,Dial up,0.0
2021-07-01,La Pampa,Dial up,116.0
2021-07-01,La Rioja,Dial up,3.0
2021-07-01,Mendoza,Dial up,619.0
2021-07-01,Misiones,Dial up,0.0
2021-07-01,Neuquén,Dial up,373.0
